DISBURSED_AMOUNT,LTV,STATE_ID,PERFORM_CNS_SCORE,CREDIT_HISTORY_LENGTH
50303,68.0,3,600,27
37000,73.15,8,300,28
61913,88.66,3,0,0
53800,87.35,11,0,25
59947,73.81,8,709,15
39394,61.91,18,0,0
29029,44.59,5,0,0
60783,85.0,4,738,24
57213,89.21,6,0,0
45821,71.59,9,0,0
51303,72.61,8,624,41
72025,72.03,10,744,24
68623,77.37,17,15,1
50303,76.11,16,0,0
44349,64.97,3,0,0
45049,71.9,6,0,0
59259,80.43,14,0,0
56209,83.46,14,667,1
55013,79.82,6,452,57
61583,71.44,8,695,14
86139,67.97,18,0,0
69140,68.28,3,0,0
62547,77.35,6,763,5
40534,72.27,14,0,0
45449,58.4,3,0,0
65169,86.36,4,0,0
63697,86.83,14,0,0
58413,85.0,17,0,0
20201,27.56,17,17,0
56009,85.3,14,0,0
60653,83.9,9,300,43
61577,89.83,11,300,35
53513,78.17,3,0,0
51003,84.43,11,0,0
56259,82.17,17,0,0
38239,70.13,5,0,0
57316,75.51,9,0,0
51578,74.94,13,0,0
40844,71.86,6,396,31
56100,86.79,14,0,0
55759,59.1,3,0,0
76851,84.93,3,0,0
40394,67.83,6,0,0
46849,73.48,15,825,7
37439,58.37,5,825,161
71223,73.4,14,0,0
52203,84.87,4,0,0
50998,72.0,13,0,0
49303,83.31,1,0,0
43294,49.96,13,594,46
61713,57.99,4,0,0
46849,77.95,1,825,24
71817,79.61,6,737,26
66222,81.93,3,0,0
63213,80.0,4,825,10
34139,45.44,4,0,0
38839,58.53,6,591,40
54259,85.47,6,810,15
54059,89.51,17,737,13
44149,74.93,4,0,0
47549,66.49,9,300,48
65382,70.71,10,0,0
57559,88.86,1,738,6
54259,86.51,6,708,10
55513,83.88,4,0,0
52703,74.94,5,720,25
47845,76.11,6,738,13
28529,47.67,4,738,17
49349,68.96,9,738,21
34921,56.68,11,0,0
55259,86.38,15,738,14
48349,69.64,6,0,0
43263,78.1,1,0,0
53078,89.91,6,16,24
52763,78.62,4,674,31
62247,69.99,13,0,0
51498,53.47,12,0,0
61947,86.08,3,738,4
43341,67.94,4,0,0
39523,56.72,2,652,151
49949,78.66,13,0,0
42044,80.64,15,0,0
55259,68.67,3,583,35
42584,67.27,13,0,0
44049,62.87,3,0,0
44645,63.11,4,0,0
67963,74.61,1,738,13
39092,69.91,6,0,0
62447,84.61,4,0,0
60213,84.78,9,740,15
56959,84.51,6,0,0
68997,89.11,8,0,0
63350,89.73,4,643,123
44145,64.14,3,738,3
62213,85.67,3,0,0
59687,73.12,13,0,0
54659,67.64,4,789,132
46849,68.18,1,17,2
67382,84.57,4,0,0
52718,71.95,7,14,35
68986,74.78,13,0,0
58259,74.36,3,0,0
71023,84.96,4,0,0
64369,68.46,2,640,23
49626,84.79,6,0,0
75999,82.78,8,0,0
74751,84.44,4,0,0
47949,73.64,1,0,0
49703,76.68,5,819,37
48166,79.4,6,300,46
64882,89.69,18,0,0
